country,name,full_name,symbol,issuer,isin,asset_class,underlying
france,BNP Gold 31Dec99,BNP Paribas Arbitrage Issuance BV ZT Gold 31Dec99,NL0006454928,,,,
france,SG ZT SILVER X5 SHO 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  SILVER X5 SHO 31Dec99,FR0011815075,,,,
france,SG BERKSHIRE HATHA ORD CL A 31Dec99,Societe Generale Effekten GMBH ZT BERKSHIRE HATHA ORD CL A 31Dec99,FR0010681528,,,,
france,SG Call 23.4 EUR FAURECIA 31Dec99,SG ISSUER Call 23.4 EUR FAURECIA 31Dec99,LU1248646314,,,,
france,SG Call 13 EUR ORANGE 31Dec99,SG ISSUER Call 13 EUR ORANGE 31Dec99,LU1428373747,,,,
france,SG Call 150.8 EUR LOREAL 31Dec99,SG ISSUER Call 150.8 EUR L`OREAL 31Dec99,LU1358280920,,,,
france,ING Call 53.48 IPE BRENT 1217,ING BANK N.V. Call 53.48 EUR IPE BRENT 12/17 31Dec99,NL0012080717,,,,
france,ING Call 24.8 EUR SG 31Dec99,ING BANK N.V. Call 24.8 EUR SOCIETE GENERALE 31Dec99,NL0010360616,,,,
france,ING Call 29.1 NYMEX LS CRUDE 0416,ING BANK N.V. Call 29.1 EUR NYMEX LS CRUDE 04/16 31Dec99,NL0011619317,,,,
france,ING Call 29.29 ICE BRENT 0416,ING BANK N.V. Call 29.29 EUR ICE BRENT 04/16 31Dec99,NL0011493028,,,,
france,ING Call 33 ICE BRENT 05/16 31Dec99,ING BANK N.V. Call 33 EUR ICE BRENT 05/16 31Dec99,NL0011621024,,,,
france,SG ZT SILVER X5 LEV 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  SILVER X5 LEV 31Dec99,FR0011815067,,,,
france,ING Call 33.95 ICE BRENT 0516,ING BANK N.V. Call 33.95 EUR ICE BRENT 05/16 31Dec99,NL0011622782,,,,
france,ING Call 48 ICE BRENT 10/17 31Dec99,ING BANK N.V. Call 48 EUR ICE BRENT 10/17 31Dec99,NL0012077226,,,,
france,ING Call 48.65 ICE BRENT 1017,ING BANK N.V. Call 48.65 EUR ICE BRENT 10/17 31Dec99,NL0012076772,,,,
france,ING Call 49.9 ICE BRENT 1017,ING BANK N.V. Call 49.9 EUR ICE BRENT 10/17 31Dec99,NL0012077291,,,,
france,ING Call 51.09 ICE BRENT 1117,ING BANK N.V. Call 51.09 EUR ICE BRENT 11/17 31Dec99,NL0012079289,,,,
france,ING Call 52.4 ICE BRENT 1117,ING BANK N.V. Call 52.4 EUR ICE BRENT 11/17 31Dec99,NL0012079883,,,,
france,ING Call 54.87 IPE BRENT 1217,ING BANK N.V. Call 54.87 EUR IPE BRENT 12/17 31Dec99,NL0012461784,,,,
france,SG ZT Ubs-Ib Zur 31Dec99,Societe Generale Effekten GMBH ZT Ubs-Ib Zur 31Dec99,FR0010638494,,,,
france,ING Call 55.4 ICE BRENT 1217,ING BANK N.V. Call 55.4 EUR ICE BRENT 12/17 31Dec99,NL0012463434,,,,
france,ING Call 57.96 ICE BRENT 0118,ING BANK N.V. Call 57.96 EUR ICE BRENT 01/18 31Dec99,NL0012464275,,,,
france,ING Call 725 EUR PLATINUM 31Dec99,ING BANK N.V. Call 725 EUR PLATINUM 31Dec99,NL0012823603,,,,
france,ING Call 34.81 ICE BRENT 0516,ING BANK N.V. Call 34.81 EUR ICE BRENT 05/16 31Dec99,NL0011623145,,,,
france,SG ZT SILVER 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  SILVER 31Dec99,FR0012468098,,,,
france,ING Call 33.7 BNP PARIBAS 31Dec99,ING BANK N.V. Call 33.7 EUR BNP PARIBAS 31Dec99,NL0010206686,,,,
france,SG ZT PALLADIUM 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  PALLADIUM 31Dec99,FR0012468106,,,,
france,SG ZT PLATINUM 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  PLATINUM 31Dec99,FR0012468114,,,,
france,SOCIETE GENERALE CAC 40 X10 31DEC99,SOCIETE GENERALE EFFEKTEN GMBH ZT CAC 40 X10 LEVERAGE 31DEC99,FR0011214527,,,,
france,SG Call 11.44 EUR ORANGE 31Dec99,SOCIETE GENERALE Call 11.44 EUR ORANGE 31Dec99,FR0012791424,,,,
france,SG Call 35.36 EUR TOTAL SA 31Dec99,SG ISSUER Call 35.36 EUR TOTAL SA 31Dec99,LU1357408704,,,,
france,SG Call 43 EUR AIRBUS GROUP 31Dec99,SG ISSUER Call 43 EUR AIRBUS GROUP 31Dec99,LU1383118483,,,,
france,SG Call 54.08 RENAULT SA 31Dec99,SG ISSUER Call 54.08 EUR RENAULT SA 31Dec99,LU1248649334,,,,
france,SG Call 57 EUR DANONE 31Dec99,SG ISSUER Call 57 EUR DANONE 31Dec99,LU1299482569,,,,
france,SG Call 6 CREDIT AGRICOLE 31Dec99,SG ISSUER Call 6 EUR CREDIT AGRICOLE 31Dec99,LU1383125850,,,,
france,SG Call 65.52 CAP GEMINI 31Dec99,SG ISSUER Call 65.52 EUR CAP GEMINI 31Dec99,LU1357398988,,,,
france,SG Call 68.64 EUR ORPEA 31Dec99,SG ISSUER Call 68.64 EUR ORPEA 31Dec99,LU1428456526,,,,
france,SG ZT NYMEX LS CRUDE 09/16 31Dec99,SG ISSUER ZT  NYMEX LS CRUDE 09/16 31Dec99,FR0013198488,,,,
france,SG Call 58 SANOFI-AVENTIS 31Dec99,SG ISSUER Call 58 EUR SANOFI-AVENTIS 31Dec99,LU1476973760,,,,
france,SG ZT Gold x 5 Short 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  Gold x 5 Short 31Dec99,FR0011334861,,,,
france,SG ZT WTI Fut 5X ShLev Ind 31Dec99,SG ISSUER ZT  WTI Fut 5X ShLev Ind 31Dec99,FR0013112778,,,,
france,SG Call 16.64 EUR AXA 31Dec99,SOCIETE GENERALE Call 16.64 EUR AXA 31Dec99,FR0012500965,,,,
france,SG Call 18.38 EUR ALSTOM 31Dec99,SG ISSUER Call 18.38 EUR ALSTOM 31Dec99,LU1357395968,,,,
france,SG Call WTI CRUDE 31Dec99,Societe Generale Effekten GMBH Call   WTI CRUDE 31Dec99,FR0010583914,,,,
france,SG Call ICE BRENT 05/12 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH Call  ICE BRENT 05/12 31Dec99,FR0011231844,,,,
france,SG ZT Brent x 5 Short 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  Brent x 5 Short 31Dec99,FR0011334887,,,,
france,SG ZT GOLD 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  GOLD 31Dec99,FR0010956383,,,,
france,SG ZT Gold x 5 Lev 31Dec99,SOCIETE GENERALE EFFEKTEN GMBH ZT  Gold x 5 Lev 31Dec99,FR0011334846,,,,
