name,full_name,base,base_name,second,second_name
USD/AED,USD/AED - US Dollar UAE Dirham,USD,US Dollar,AED,UAE Dirham
AED/JPY,AED/JPY - UAE Dirham Japanese Yen,AED,UAE Dirham,JPY,Japanese Yen
AED/PKR,AED/PKR - UAE Dirham Pakistani Rupee,AED,UAE Dirham,PKR,Pakistani Rupee
CAD/AED,CAD/AED - Canadian Dollar UAE Dirham,CAD,Canadian Dollar,AED,UAE Dirham
CHF/AED,CHF/AED - Swiss Franc UAE Dirham,CHF,Swiss Franc,AED,UAE Dirham
DKK/AED,DKK/AED - Danish Krone UAE Dirham,DKK,Danish Krone,AED,UAE Dirham
EUR/AED,EUR/AED - Euro UAE Dirham,EUR,Euro,AED,UAE Dirham
GBP/AED,GBP/AED - British Pound UAE Dirham,GBP,British Pound,AED,UAE Dirham
JPY/AED,JPY/AED - Japanese Yen UAE Dirham,JPY,Japanese Yen,AED,UAE Dirham
AED/ARS,AED/ARS - UAE Dirham Argentinian Peso,AED,UAE Dirham,ARS,Argentinian Peso
AED/AUD,AED/AUD - UAE Dirham Australian Dollar,AED,UAE Dirham,AUD,Australian Dollar
AED/BRL,AED/BRL - UAE Dirham Brazil Real,AED,UAE Dirham,BRL,Brazil Real
AED/CAD,AED/CAD - UAE Dirham Canadian Dollar,AED,UAE Dirham,CAD,Canadian Dollar
AED/CHF,AED/CHF - UAE Dirham Swiss Franc,AED,UAE Dirham,CHF,Swiss Franc
AED/CLP,AED/CLP - UAE Dirham Chilean Peso,AED,UAE Dirham,CLP,Chilean Peso
AED/CNY,AED/CNY - UAE Dirham Chinese Yuan,AED,UAE Dirham,CNY,Chinese Yuan
AED/CZK,AED/CZK - UAE Dirham Czech Koruna,AED,UAE Dirham,CZK,Czech Koruna
AED/DKK,AED/DKK - UAE Dirham Danish Krone,AED,UAE Dirham,DKK,Danish Krone
AED/EUR,AED/EUR - UAE Dirham Euro,AED,UAE Dirham,EUR,Euro
AED/GBP,AED/GBP - UAE Dirham British Pound,AED,UAE Dirham,GBP,British Pound
AED/HKD,AED/HKD - UAE Dirham Hong Kong Dollar,AED,UAE Dirham,HKD,Hong Kong Dollar
AED/HUF,AED/HUF - UAE Dirham Hungarian Forint,AED,UAE Dirham,HUF,Hungarian Forint
AED/ILS,AED/ILS - UAE Dirham Israeli Shekel,AED,UAE Dirham,ILS,Israeli Shekel
AED/INR,AED/INR - UAE Dirham Indian Rupee,AED,UAE Dirham,INR,Indian Rupee
AED/ISK,AED/ISK - UAE Dirham Icelandic Kr,AED,UAE Dirham,ISK,Icelandic Kr
AED/KRW,AED/KRW - UAE Dirham Korean Won,AED,UAE Dirham,KRW,Korean Won
AED/MAD,AED/MAD - UAE Dirham Moroccan Dirham,AED,UAE Dirham,MAD,Moroccan Dirham
AED/MXN,AED/MXN - UAE Dirham Mexican Peso,AED,UAE Dirham,MXN,Mexican Peso
AED/NOK,AED/NOK - UAE Dirham Norwegian Krone,AED,UAE Dirham,NOK,Norwegian Krone
AED/NZD,AED/NZD - UAE Dirham New Zealand Dollar,AED,UAE Dirham,NZD,New Zealand Dollar
AED/PHP,AED/PHP - UAE Dirham Philippine Peso,AED,UAE Dirham,PHP,Philippine Peso
AED/PLN,AED/PLN - UAE Dirham Polish Zloty,AED,UAE Dirham,PLN,Polish Zloty
AED/RUB,AED/RUB - UAE Dirham Russian Ruble,AED,UAE Dirham,RUB,Russian Ruble
AED/SAR,AED/SAR - UAE Dirham Saudi Riyal,AED,UAE Dirham,SAR,Saudi Riyal
AED/SEK,AED/SEK - UAE Dirham Swedish Krona,AED,UAE Dirham,SEK,Swedish Krona
AED/SGD,AED/SGD - UAE Dirham Singapore Dollar,AED,UAE Dirham,SGD,Singapore Dollar
AED/THB,AED/THB - UAE Dirham Thai Baht,AED,UAE Dirham,THB,Thai Baht
AED/TRY,AED/TRY - UAE Dirham Turkish Lira,AED,UAE Dirham,TRY,Turkish Lira
AED/USD,AED/USD - UAE Dirham US Dollar,AED,UAE Dirham,USD,US Dollar
AED/VES,AED/VES - UAE Dirham Venezuelan Bolivar,AED,UAE Dirham,VES,Venezuelan Bolivar
AED/XAF,AED/XAF - UAE Dirham Central African Franc,AED,UAE Dirham,XAF,Central African Franc
AED/XCD,AED/XCD - UAE Dirham East Caribbean Dollar,AED,UAE Dirham,XCD,East Caribbean Dollar
AED/ZAR,AED/ZAR - UAE Dirham South African Rand,AED,UAE Dirham,ZAR,South African Rand
AED/BBD,AED/BBD - UAE Dirham Barbadian Dollar,AED,UAE Dirham,BBD,Barbadian Dollar
AED/BHD,AED/BHD - UAE Dirham Baharain Dinar,AED,UAE Dirham,BHD,Baharain Dinar
AED/JOD,AED/JOD - UAE Dirham Jordan Dinar,AED,UAE Dirham,JOD,Jordan Dinar
AED/NAD,AED/NAD - UAE Dirham Namibian Dollar,AED,UAE Dirham,NAD,Namibian Dollar
AED/OMR,AED/OMR - UAE Dirham Omani Rial,AED,UAE Dirham,OMR,Omani Rial
AED/QAR,AED/QAR - UAE Dirham Qatari Riyal,AED,UAE Dirham,QAR,Qatari Riyal
AED/JMD,AED/JMD - UAE Dirham Jamaican Dollar,AED,UAE Dirham,JMD,Jamaican Dollar
AED/KES,AED/KES - UAE Dirham Kenyan Shilling,AED,UAE Dirham,KES,Kenyan Shilling
AED/LKR,AED/LKR - UAE Dirham Sri Lankan Rupee,AED,UAE Dirham,LKR,Sri Lankan Rupee
AED/RON,AED/RON - UAE Dirham Romanian Leu,AED,UAE Dirham,RON,Romanian Leu
AED/LBP,AED/LBP - UAE Dirham Lebanese Pound,AED,UAE Dirham,LBP,Lebanese Pound
AED/NPR,AED/NPR - UAE Dirham Nepalese Rupee,AED,UAE Dirham,NPR,Nepalese Rupee
AED/PAB,AED/PAB - UAE Dirham Panamanian Balboa,AED,UAE Dirham,PAB,Panamanian Balboa
AED/EGP,AED/EGP - UAE Dirham Egyptian Pound,AED,UAE Dirham,EGP,Egyptian Pound
