country,name,full_name,isin,currency,symbol
argentina,Tenaris,Tenaris,LU0156801721,ARS,TS
argentina,PETROBRAS ON,Petroleo Brasileiro - Petrobras,BRPETRACNOR9,ARS,APBR
argentina,Grupo Financiero Galicia,Grupo Financiero Galicia B,ARP495251018,ARS,GGAL
argentina,Ternium Argentina,Ternium Argentina SA,ARSIDE010029,ARS,TXAR
argentina,Pampa Energia,Pampa Energia SA,ARP432631215,ARS,PAMP
argentina,Telecom Argentina,Telecom Argentina,ARP9028N1016,ARS,TECO2
argentina,Banco Patagonia,Banco Patagonia,ARMERI013163,ARS,BPAT
argentina,Aluar,Aluar Aluminio Argentino,ARALUA010258,ARS,ALUA
argentina,BBVA Banco Frances,BBVA Banco Frances SA,ARP125991090,ARS,BBAR
argentina,Banco Macro,Banco Macro,ARBANS010010,ARS,BMA
argentina,Edenor,Empresa Distribuidora y Comercializadora Norte S.A.,ARENOR010020,ARS,EDN
argentina,Transener,Compania de Transporte de Energia Electrica en Alta Tension Transener SA,ARTRAN010011,ARS,TRAN
argentina,Mirgor,Mirgor S.A. C,ARP6823S1295,ARS,MIRG
argentina,Banco Hipotecario,Banco Hipotecario SA,ARBHIP010161,ARS,BHIP
argentina,Agrometal,Agrometal,ARAGRO010015,ARS,AGRO
argentina,Autopistas del Sol,Autopistas del Sol,ARASOL010033,ARS,AUSO
argentina,Boldt Gaming,Boldt Gaming,ARBOLG010010,ARS,GAMI
argentina,Boldt,Boldt,ARBOLD010054,ARS,BOLT
argentina,Camuzzi Gas Pampeana,Camuzzi Gas Pampeana SA,ARCGSU010048,ARS,CGPA2
argentina,Carlos Casado,Carlos Casado,ARCADO010023,ARS,CADO
argentina,Carboclor,Carboclor,ARP8723U1058,ARS,CARC
argentina,Caputo,Caputo,ARP2071R1377,ARS,CAPU
argentina,Enel Generacion Costanera,Enel Generacion Costanera SA,ARP2341J1058,ARS,CECO2
argentina,Celulosa Argentina,Celulosa Argentina SA,ARP219751426,ARS,CELU
argentina,Central Puerto,Central Puerto S.A.,ARP2354W1188,ARS,CEPU
argentina,Grupo clarin,Grupo clarin,ARGCLA010015,ARS,GCLA
argentina,Colorin,Colorin Industria de Materiales Sinteticos SA,ARP2885N1161,ARS,COLO
argentina,Comercial del Plata,Sociedad Comercial del Plata S.A.,ARP290071462,ARS,COME
argentina,Consultatio,Consultatio SA,ARCTIO010019,ARS,CTIO
argentina,Capex,Capex,ARP2006N1025,ARS,CAPX
argentina,Cresud,Cresud SA,ARP331091024,ARS,CRES
argentina,Dycasa,Dycasa SA,ARP3594C1107,ARS,DYCA
argentina,Distribuidora de Gas Cuyana,Distribuidora de Gas Cuyana SA,ARP3568E1180,ARS,DGCU2
argentina,Ferrum,Ferrum SA de Ceramica y Metalurgia,ARP395611576,ARS,FERR
argentina,Fiplasto SA,Fiplasto SA,ARP416191426,ARS,FIPL
argentina,Garovaglio y Zorroaquin,Garovaglio y Zorroaquin,ARP460221020,ARS,GARO
argentina,Gas Natural BAN,Gas Natural BAN,ARGASB010027,ARS,GBAN
argentina,Grimoldi,Grimoldi SA,ARP493071046,ARS,GRIM
argentina,Solvay Indupa,Solvay Indupa SAIC,ARP533511050,ARS,INDU
